TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
HIV: Negativo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";7;4;-;11
"350020 ADOLFO";-;3;-;3
"350030 AGUAI";11;10;-;21
"350040 AGUAS DA PRATA";1;1;-;2
"350055 AGUAS DE SANTA BARBARA";-;3;-;3
"350060 AGUAS DE SAO PEDRO";-;1;-;1
"350070 AGUDOS";14;8;-;22
"350075 ALAMBARI";1;1;-;2
"350080 ALFREDO MARCONDES";-;1;-;1
"350090 ALTAIR";1;1;-;2
"350100 ALTINOPOLIS";3;1;-;4
"350110 ALTO ALEGRE";14;3;-;17
"350115 ALUMINIO";4;8;-;12
"350130 ALVARES MACHADO";9;3;-;12
"350140 ALVARO DE CARVALHO";21;18;-;39
"350150 ALVINLANDIA";1;1;-;2
"350160 AMERICANA";40;31;-;71
"350170 AMERICO BRASILIENSE";6;7;-;13
"350180 AMERICO DE CAMPOS";-;1;-;1
"350190 AMPARO";12;10;-;22
"350200 ANALANDIA";1;1;-;2
"350210 ANDRADINA";25;28;-;53
"350220 ANGATUBA";6;8;-;14
"350230 ANHEMBI";1;3;-;4
"350240 ANHUMAS";1;-;-;1
"350250 APARECIDA";15;14;-;29
"350260 APARECIDA D'OESTE";1;-;-;1
"350270 APIAI";5;3;-;8
"350275 ARACARIGUAMA";9;13;-;22
"350280 ARACATUBA";56;55;2;113
"350290 ARACOIABA DA SERRA";7;5;-;12
"350310 ARANDU";1;-;-;1
"350315 ARAPEI";1;-;-;1
"350320 ARARAQUARA";49;44;1;94
"350330 ARARAS";45;38;-;83
"350340 AREALVA";1;-;-;1
"350350 AREIAS";1;-;-;1
"350360 AREIOPOLIS";5;2;-;7
"350380 ARTUR NOGUEIRA";8;12;-;20
"350390 ARUJA";27;9;-;36
"350395 ASPASIA";-;1;-;1
"350400 ASSIS";37;48;2;87
"350410 ATIBAIA";50;51;-;101
"350420 AURIFLAMA";1;1;-;2
"350440 AVANHANDAVA";10;15;-;25
"350450 AVARE";39;18;2;59
"350460 BADY BASSITT";9;11;-;20
