TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";1;1;-;2
"350030 AGUAI";3;2;-;5
"350050 AGUAS DE LINDOIA";1;1;-;2
"350070 AGUDOS";1;3;-;4
"350100 ALTINOPOLIS";1;-;-;1
"350115 ALUMINIO";1;-;-;1
"350130 ALVARES MACHADO";-;1;-;1
"350140 ALVARO DE CARVALHO";1;1;-;2
"350160 AMERICANA";3;10;-;13
"350180 AMERICO DE CAMPOS";1;-;-;1
"350190 AMPARO";1;4;-;5
"350210 ANDRADINA";4;6;-;10
"350250 APARECIDA";4;4;-;8
"350270 APIAI";-;1;-;1
"350275 ARACARIGUAMA";-;2;-;2
"350280 ARACATUBA";12;11;-;23
"350290 ARACOIABA DA SERRA";-;1;-;1
"350310 ARANDU";-;1;-;1
"350320 ARARAQUARA";1;3;-;4
"350330 ARARAS";6;1;-;7
"350380 ARTUR NOGUEIRA";3;-;-;3
"350390 ARUJA";1;1;-;2
"350400 ASSIS";2;3;-;5
"350410 ATIBAIA";2;2;-;4
"350440 AVANHANDAVA";-;1;-;1
"350450 AVARE";1;7;-;8
"350470 BALBINOS";1;1;-;2
"350500 BARAO DE ANTONINA";2;-;-;2
"350530 BARRA BONITA";1;-;-;1
"350540 BARRA DO TURVO";1;-;-;1
"350550 BARRETOS";9;35;1;45
"350560 BARRINHA";-;1;-;1
"350570 BARUERI";12;14;2;28
"350600 BAURU";24;26;1;51
"350610 BEBEDOURO";2;-;1;3
"350635 BERTIOGA";4;3;1;8
"350650 BIRIGUI";5;-;-;5
"350660 BIRITIBA-MIRIM";1;-;-;1
"350690 BOFETE";1;2;-;3
"350710 BOM JESUS DOS PERDOES";1;-;-;1
"350750 BOTUCATU";1;6;-;7
"350760 BRAGANCA PAULISTA";3;6;-;9
"350770 BRAUNA";2;1;-;3
"350775 BREJO ALEGRE";-;1;-;1
"350840 CABREUVA";1;1;-;2
"350850 CACAPAVA";1;2;-;3
"350860 CACHOEIRA PAULISTA";1;4;-;5
"350880 CAFELANDIA";1;-;-;1
"350900 CAIEIRAS";4;2;1;7
"350910 CAIUA";2;-;-;2
"350920 CAJAMAR";1;4;-;5
"350925 CAJATI";1;4;-;5
"350940 CAJURU";-;3;-;3
"350950 CAMPINAS";42;57;8;107
"350960 CAMPO LIMPO PAULISTA";2;3;-;5
"350970 CAMPOS DO JORDAO";1;1;-;2
"350990 CANANEIA";3;1;-;4
"351000 CANDIDO MOTA";2;1;-;3
"351030 CAPELA DO ALTO";2;1;-;3
"351040 CAPIVARI";4;3;-;7
"351050 CARAGUATATUBA";2;11;-;13
"351060 CARAPICUIBA";31;27;2;60
"351100 CASTILHO";-;2;-;2
"351110 CATANDUVA";2;-;-;2
"351130 CEDRAL";-;1;-;1
"351140 CERQUEIRA CESAR";2;1;1;4
"351150 CERQUILHO";-;1;-;1
"351160 CESARIO LANGE";1;-;-;1
"351200 COLINA";2;4;-;6
"351210 COLOMBIA";1;-;-;1
"351220 CONCHAL";1;1;-;2
"351230 CONCHAS";2;2;-;4
"351280 COSMOPOLIS";1;5;-;6
"351300 COTIA";15;19;1;35
