TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Sexo: Feminino
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";1;1;-;2
"350020 ADOLFO";-;2;-;2
"350030 AGUAI";3;4;-;7
"350040 AGUAS DA PRATA";1;1;-;2
"350070 AGUDOS";4;5;-;9
"350080 ALFREDO MARCONDES";-;1;-;1
"350090 ALTAIR";1;-;-;1
"350100 ALTINOPOLIS";2;-;-;2
"350110 ALTO ALEGRE";4;2;-;6
"350115 ALUMINIO";3;4;-;7
"350130 ALVARES MACHADO";4;1;-;5
"350150 ALVINLANDIA";-;1;-;1
"350160 AMERICANA";4;9;-;13
"350170 AMERICO BRASILIENSE";2;2;-;4
"350190 AMPARO";4;4;-;8
"350200 ANALANDIA";1;-;-;1
"350210 ANDRADINA";3;5;-;8
"350220 ANGATUBA";1;-;-;1
"350230 ANHEMBI";-;1;-;1
"350250 APARECIDA";5;3;-;8
"350260 APARECIDA D'OESTE";1;-;-;1
"350270 APIAI";2;1;-;3
"350275 ARACARIGUAMA";4;8;-;12
"350280 ARACATUBA";13;18;-;31
"350290 ARACOIABA DA SERRA";3;2;-;5
"350300 ARAMINA";1;-;-;1
"350320 ARARAQUARA";6;6;1;13
"350330 ARARAS";15;9;-;24
"350360 AREIOPOLIS";3;2;-;5
"350380 ARTUR NOGUEIRA";4;8;-;12
"350390 ARUJA";14;9;-;23
"350400 ASSIS";7;9;1;17
"350410 ATIBAIA";10;15;-;25
"350420 AURIFLAMA";-;1;-;1
"350440 AVANHANDAVA";1;-;-;1
"350450 AVARE";6;6;-;12
"350460 BADY BASSITT";3;5;-;8
"350480 BALSAMO";1;-;-;1
"350490 BANANAL";2;1;-;3
"350500 BARAO DE ANTONINA";2;-;-;2
"350520 BARIRI";1;5;-;6
"350530 BARRA BONITA";5;-;-;5
"350535 BARRA DO CHAPEU";2;1;-;3
"350550 BARRETOS";14;19;1;34
"350560 BARRINHA";1;6;-;7
"350570 BARUERI";47;62;1;110
"350580 BASTOS";1;3;-;4
"350590 BATATAIS";3;6;-;9
"350600 BAURU";50;71;5;126
"350610 BEBEDOURO";7;2;-;9
"350620 BENTO DE ABREU";1;-;-;1
"350630 BERNARDINO DE CAMPOS";-;3;-;3
"350635 BERTIOGA";33;39;4;76
"350650 BIRIGUI";5;3;1;9
"350660 BIRITIBA-MIRIM";1;3;-;4
"350670 BOA ESPERANCA DO SUL";1;2;-;3
"350680 BOCAINA";-;1;-;1
"350690 BOFETE";-;1;-;1
"350700 BOITUVA";2;2;-;4
"350710 BOM JESUS DOS PERDOES";3;-;-;3
"350730 BORACEIA";-;1;-;1
"350740 BORBOREMA";-;1;-;1
"350750 BOTUCATU";9;21;-;30
"350760 BRAGANCA PAULISTA";9;11;-;20
"350775 BREJO ALEGRE";2;1;-;3
"350780 BRODOWSKI";2;-;-;2
"350790 BROTAS";2;-;-;2
"350800 BURI";2;1;-;3
"350810 BURITAMA";1;1;-;2
"350840 CABREUVA";3;6;1;10
"350850 CACAPAVA";4;7;-;11
"350860 CACHOEIRA PAULISTA";2;6;-;8
"350880 CAFELANDIA";1;-;-;1
"350900 CAIEIRAS";9;12;3;24
"350920 CAJAMAR";6;9;-;15
"350925 CAJATI";5;4;-;9
"350940 CAJURU";1;4;1;6
"350945 CAMPINA DO MONTE ALEGRE";3;-;-;3
"350950 CAMPINAS";101;121;9;231
"350960 CAMPO LIMPO PAULISTA";6;8;-;14
"350990 CANANEIA";4;-;-;4
"351000 CANDIDO MOTA";2;3;-;5
"351020 CAPAO BONITO";2;10;-;12
"351030 CAPELA DO ALTO";-;2;-;2
"351040 CAPIVARI";10;3;-;13
"351050 CARAGUATATUBA";35;40;-;75
"351060 CARAPICUIBA";91;104;6;201
"351070 CARDOSO";1;1;-;2
"351080 CASA BRANCA";4;2;-;6
"351100 CASTILHO";3;2;-;5
"351110 CATANDUVA";7;10;-;17
"351120 CATIGUA";-;1;-;1
"351130 CEDRAL";-;1;-;1
"351140 CERQUEIRA CESAR";1;6;-;7
"351150 CERQUILHO";2;1;-;3
"351160 CESARIO LANGE";1;1;-;2
"351170 CHARQUEADA";1;2;-;3
"351200 COLINA";1;5;-;6
"351210 COLOMBIA";5;1;-;6
"351220 CONCHAL";3;7;-;10
"351230 CONCHAS";3;1;-;4
"351240 CORDEIROPOLIS";2;2;-;4
"351250 COROADOS";-;1;-;1
"351280 COSMOPOLIS";7;8;1;16
"351300 COTIA";43;42;2;87
"351310 CRAVINHOS";2;-;-;2
"351340 CRUZEIRO";10;14;-;24
"351350 CUBATAO";42;48;1;91
"351360 CUNHA";-;1;-;1
"351370 DESCALVADO";3;3;-;6
"351380 DIADEMA";84;78;1;163
"351440 DRACENA";1;3;-;4
"351460 DUMONT";1;1;-;2
"351480 ELDORADO";4;2;-;6
"351490 ELIAS FAUSTO";-;2;-;2
"351492 ELISIARIO";1;1;-;2
"351500 EMBU DAS ARTES";45;61;2;108
"351510 EMBU-GUACU";9;13;-;22
"351515 ENGENHEIRO COELHO";4;2;-;6
"351518 ESPIRITO SANTO DO PINHAL";5;7;-;12
"351519 ESPIRITO SANTO DO TURVO";-;1;-;1
"351540 FARTURA";3;4;-;7
"351550 FERNANDOPOLIS";7;13;-;20
"351570 FERRAZ DE VASCONCELOS";34;40;1;75
"351600 FLORIDA PAULISTA";2;2;1;5
"351610 FLORINIA";1;-;-;1
"351620 FRANCA";19;22;1;42
"351630 FRANCISCO MORATO";36;42;1;79
"351640 FRANCO DA ROCHA";26;44;3;73
"351660 GALIA";-;1;-;1
"351670 GARCA";3;9;-;12
"351685 GAVIAO PEIXOTO";4;-;-;4
"351690 GENERAL SALGADO";1;1;-;2
"351700 GETULINA";1;1;-;2
"351720 GUAICARA";-;1;-;1
"351730 GUAIMBE";1;3;-;4
"351740 GUAIRA";3;3;2;8
"351750 GUAPIACU";2;3;-;5
"351760 GUAPIARA";-;2;-;2
"351770 GUARA";3;2;-;5
"351780 GUARACAI";-;1;-;1
"351790 GUARACI";-;1;-;1
"351820 GUARARAPES";2;1;-;3
"351830 GUARAREMA";1;5;-;6
"351840 GUARATINGUETA";5;18;-;23
"351860 GUARIBA";1;1;-;2
"351870 GUARUJA";161;152;2;315
"351880 GUARULHOS";190;249;13;452
"351885 GUATAPARA";-;1;-;1
"351905 HOLAMBRA";1;1;-;2
"351907 HORTOLANDIA";19;28;1;48
"351925 IARAS";-;1;1;2
"351930 IBATE";2;-;-;2
"351940 IBIRA";2;1;-;3
"351950 IBIRAREMA";1;3;-;4
"351960 IBITINGA";9;5;-;14
"351970 IBIUNA";6;9;-;15
"351990 IEPE";2;1;-;3
"352000 IGARACU DO TIETE";3;10;-;13
"352010 IGARAPAVA";-;2;-;2
"352020 IGARATA";-;1;-;1
"352030 IGUAPE";11;8;-;19
"352040 ILHABELA";9;6;-;15
"352042 ILHA COMPRIDA";2;7;-;9
"352044 ILHA SOLTEIRA";1;2;-;3
"352050 INDAIATUBA";24;28;1;53
"352090 IPAUSSU";1;2;-;3
"352100 IPERO";6;7;-;13
"352110 IPEUNA";3;2;-;5
"352120 IPORANGA";2;2;-;4
"352130 IPUA";2;-;-;2
"352140 IRACEMAPOLIS";1;-;-;1
"352150 IRAPUA";-;1;-;1
"352170 ITABERA";1;2;-;3
"352180 ITAI";8;2;-;10
"352190 ITAJOBI";1;-;-;1
"352210 ITANHAEM";25;39;-;64
"352220 ITAPECERICA DA SERRA";25;25;2;52
"352230 ITAPETININGA";20;26;-;46
"352240 ITAPEVA";9;13;1;23
"352250 ITAPEVI";52;47;2;101
"352260 ITAPIRA";8;7;-;15
"352270 ITAPOLIS";2;1;-;3
"352280 ITAPORANGA";1;1;-;2
"352290 ITAPUI";3;1;-;4
"352310 ITAQUAQUECETUBA";47;46;1;94
"352320 ITARARE";3;2;-;5
"352330 ITARIRI";-;3;-;3
"352340 ITATIBA";5;12;1;18
"352350 ITATINGA";1;1;-;2
"352370 ITIRAPUA";2;-;-;2
"352380 ITOBI";-;1;-;1
"352390 ITU";16;18;-;34
"352400 ITUPEVA";3;5;1;9
"352410 ITUVERAVA";3;3;-;6
"352430 JABOTICABAL";5;9;-;14
"352440 JACAREI";18;21;3;42
"352470 JAGUARIUNA";4;6;-;10
"352480 JALES";3;1;-;4
"352490 JAMBEIRO";-;1;-;1
"352500 JANDIRA";12;16;-;28
"352510 JARDINOPOLIS";6;4;-;10
"352520 JARINU";2;2;-;4
"352530 JAU";7;19;-;26
"352570 JOSE BONIFACIO";3;-;-;3
"352580 JULIO MESQUITA";-;1;-;1
"352590 JUNDIAI";38;46;1;85
"352600 JUNQUEIROPOLIS";2;1;-;3
"352610 JUQUIA";1;4;-;5
"352620 JUQUITIBA";2;4;-;6
"352640 LARANJAL PAULISTA";-;5;1;6
"352650 LAVINIA";1;-;-;1
"352670 LEME";8;9;-;17
"352680 LENCOIS PAULISTA";9;8;-;17
"352690 LIMEIRA";46;29;-;75
"352700 LINDOIA";1;-;-;1
"352710 LINS";9;8;-;17
"352720 LORENA";9;8;-;17
"352730 LOUVEIRA";2;3;-;5
"352740 LUCELIA";-;1;-;1
"352780 LUPERCIO";-;1;-;1
"352810 MACAUBAL";-;1;-;1
"352820 MACEDONIA";-;1;-;1
"352840 MAIRINQUE";7;10;-;17
"352850 MAIRIPORA";6;10;-;16
"352860 MANDURI";1;1;-;2
"352880 MARACAI";-;1;-;1
"352900 MARILIA";20;32;3;55
"352920 MARTINOPOLIS";2;-;-;2
"352930 MATAO";2;4;-;6
"352940 MAUA";77;72;1;150
"352950 MENDONCA";1;1;-;2
"352970 MIGUELOPOLIS";3;-;-;3
"352980 MINEIROS DO TIETE";1;1;-;2
"352990 MIRACATU";4;1;-;5
"353010 MIRANDOPOLIS";1;4;-;5
"353020 MIRANTE DO PARANAPANEMA";1;1;-;2
"353030 MIRASSOL";7;4;-;11
"353050 MOCOCA";5;8;-;13
"353060 MOGI DAS CRUZES";72;43;4;119
"353070 MOGI GUACU";13;19;1;33
"353080 MOGI MIRIM";5;4;-;9
"353090 MOMBUCA";2;1;-;3
"353100 MONCOES";1;-;-;1
"353110 MONGAGUA";17;20;-;37
"353120 MONTE ALEGRE DO SUL";1;-;-;1
"353130 MONTE ALTO";1;3;-;4
"353140 MONTE APRAZIVEL";-;2;-;2
"353150 MONTE AZUL PAULISTA";2;-;-;2
"353160 MONTE CASTELO";1;-;-;1
"353180 MONTE MOR";2;5;-;7
"353190 MORRO AGUDO";7;7;2;16
"353200 MORUNGABA";1;1;-;2
"353205 MOTUCA";1;-;-;1
"353240 NAZARE PAULISTA";4;2;-;6
"353250 NEVES PAULISTA";1;3;-;4
"353260 NHANDEARA";2;2;-;4
"353290 NOVA EUROPA";1;-;-;1
"353300 NOVA GRANADA";-;2;-;2
"353320 NOVA INDEPENDENCIA";1;1;-;2
"353340 NOVA ODESSA";3;7;-;10
"353350 NOVO HORIZONTE";2;1;-;3
"353390 OLIMPIA";1;4;-;5
"353400 ONDA VERDE";-;2;-;2
"353410 ORIENTE";-;1;-;1
"353430 ORLANDIA";3;5;-;8
"353440 OSASCO";122;109;3;234
"353460 OSVALDO CRUZ";2;1;-;3
"353470 OURINHOS";6;19;-;25
"353475 OUROESTE";1;-;-;1
"353480 OURO VERDE";1;-;-;1
"353520 PALMEIRA D'OESTE";1;-;-;1
"353530 PALMITAL";1;4;-;5
"353540 PANORAMA";3;3;-;6
"353550 PARAGUACU PAULISTA";1;4;-;5
"353560 PARAIBUNA";3;1;-;4
"353580 PARANAPANEMA";1;1;-;2
"353620 PARIQUERA-ACU";4;4;-;8
"353640 PAULICEIA";1;1;-;2
"353650 PAULINIA";13;12;1;26
"353680 PEDRA BELA";1;1;-;2
"353700 PEDREGULHO";2;-;-;2
"353710 PEDREIRA";8;-;-;8
