TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";1;4;-;5
"350030 AGUAI";5;6;-;11
"350050 AGUAS DE LINDOIA";1;1;-;2
"350070 AGUDOS";11;3;-;14
"350100 ALTINOPOLIS";1;-;-;1
"350110 ALTO ALEGRE";1;-;-;1
"350115 ALUMINIO";2;6;-;8
"350130 ALVARES MACHADO";3;2;-;5
"350140 ALVARO DE CARVALHO";15;12;-;27
"350150 ALVINLANDIA";1;1;-;2
"350160 AMERICANA";24;21;-;45
"350170 AMERICO BRASILIENSE";2;6;-;8
"350180 AMERICO DE CAMPOS";1;1;-;2
"350190 AMPARO";4;5;-;9
"350200 ANALANDIA";1;-;-;1
"350210 ANDRADINA";19;21;-;40
"350220 ANGATUBA";2;2;-;4
"350230 ANHEMBI";-;1;-;1
"350240 ANHUMAS";1;-;-;1
"350250 APARECIDA";11;7;-;18
"350270 APIAI";3;3;-;6
"350275 ARACARIGUAMA";3;6;-;9
"350280 ARACATUBA";28;26;-;54
"350290 ARACOIABA DA SERRA";-;2;1;3
"350300 ARAMINA";1;-;-;1
"350310 ARANDU";1;1;-;2
"350320 ARARAQUARA";25;15;-;40
"350330 ARARAS";23;13;-;36
"350340 AREALVA";-;1;-;1
"350350 AREIAS";1;-;-;1
"350360 AREIOPOLIS";3;1;-;4
"350380 ARTUR NOGUEIRA";4;5;-;9
"350390 ARUJA";14;12;-;26
"350400 ASSIS";25;28;2;55
"350410 ATIBAIA";26;25;-;51
"350440 AVANHANDAVA";10;14;-;24
"350450 AVARE";23;17;3;43
"350460 BADY BASSITT";6;5;-;11
"350470 BALBINOS";31;25;1;57
"350480 BALSAMO";-;1;-;1
"350490 BANANAL";4;2;-;6
"350500 BARAO DE ANTONINA";2;-;-;2
"350510 BARBOSA";-;1;-;1
"350520 BARIRI";6;2;-;8
"350530 BARRA BONITA";6;1;-;7
"350535 BARRA DO CHAPEU";1;-;-;1
"350540 BARRA DO TURVO";1;-;-;1
"350550 BARRETOS";15;21;-;36
"350560 BARRINHA";5;7;1;13
"350570 BARUERI";64;89;2;155
"350580 BASTOS";1;5;-;6
"350590 BATATAIS";3;7;-;10
"350600 BAURU";139;129;10;278
"350610 BEBEDOURO";7;5;-;12
"350620 BENTO DE ABREU";1;-;-;1
"350630 BERNARDINO DE CAMPOS";9;7;-;16
"350635 BERTIOGA";38;51;5;94
"350650 BIRIGUI";16;5;-;21
"350660 BIRITIBA-MIRIM";4;6;-;10
"350670 BOA ESPERANCA DO SUL";2;2;-;4
"350680 BOCAINA";2;-;-;2
"350690 BOFETE";-;2;-;2
"350700 BOITUVA";1;5;-;6
"350710 BOM JESUS DOS PERDOES";4;1;-;5
"350715 BOM SUCESSO DE ITARARE";1;-;-;1
"350740 BORBOREMA";3;-;-;3
"350750 BOTUCATU";22;21;1;44
"350760 BRAGANCA PAULISTA";17;17;-;34
"350770 BRAUNA";2;1;-;3
"350775 BREJO ALEGRE";1;-;-;1
"350780 BRODOWSKI";1;-;-;1
"350790 BROTAS";3;-;-;3
"350800 BURI";4;2;-;6
"350810 BURITAMA";-;5;-;5
"350820 BURITIZAL";-;1;-;1
"350830 CABRALIA PAULISTA";-;1;-;1
"350840 CABREUVA";8;8;1;17
"350850 CACAPAVA";6;9;-;15
"350860 CACHOEIRA PAULISTA";6;16;1;23
"350870 CACONDE";-;1;-;1
"350880 CAFELANDIA";-;2;-;2
"350900 CAIEIRAS";22;17;3;42
"350910 CAIUA";15;13;-;28
"350920 CAJAMAR";12;10;-;22
"350925 CAJATI";4;5;-;9
"350940 CAJURU";2;9;1;12
"350945 CAMPINA DO MONTE ALEGRE";2;1;-;3
"350950 CAMPINAS";187;204;13;404
"350960 CAMPO LIMPO PAULISTA";12;8;-;20
"350970 CAMPOS DO JORDAO";6;2;-;8
"350980 CAMPOS NOVOS PAULISTA";-;1;-;1
"350990 CANANEIA";5;1;-;6
"351000 CANDIDO MOTA";2;6;-;8
"351015 CANITAR";-;1;-;1
"351020 CAPAO BONITO";5;9;-;14
"351030 CAPELA DO ALTO";16;18;-;34
"351040 CAPIVARI";14;9;-;23
"351050 CARAGUATATUBA";57;69;-;126
"351060 CARAPICUIBA";139;149;15;303
"351080 CASA BRANCA";9;6;-;15
"351090 CASSIA DOS COQUEIROS";-;1;-;1
"351100 CASTILHO";4;8;-;12
"351110 CATANDUVA";9;13;1;23
"351120 CATIGUA";-;1;-;1
"351130 CEDRAL";-;2;-;2
"351140 CERQUEIRA CESAR";19;17;2;38
"351150 CERQUILHO";1;5;-;6
"351160 CESARIO LANGE";-;1;-;1
"351170 CHARQUEADA";1;-;-;1
"351200 COLINA";1;3;-;4
"351210 COLOMBIA";-;1;-;1
"351220 CONCHAL";1;7;-;8
"351230 CONCHAS";2;1;-;3
"351240 CORDEIROPOLIS";3;1;-;4
"351280 COSMOPOLIS";10;11;1;22
"351290 COSMORAMA";1;-;-;1
"351300 COTIA";50;57;3;110
"351310 CRAVINHOS";3;2;-;5
