TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Sexo: Masculino
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";7;4;-;11
"350020 ADOLFO";-;1;-;1
"350030 AGUAI";11;15;-;26
"350040 AGUAS DA PRATA";-;1;-;1
"350050 AGUAS DE LINDOIA";1;3;-;4
"350055 AGUAS DE SANTA BARBARA";-;3;-;3
"350060 AGUAS DE SAO PEDRO";-;1;-;1
"350070 AGUDOS";11;6;-;17
"350075 ALAMBARI";1;3;-;4
"350090 ALTAIR";-;1;-;1
"350100 ALTINOPOLIS";3;1;-;4
"350110 ALTO ALEGRE";10;1;-;11
"350115 ALUMINIO";3;5;-;8
"350130 ALVARES MACHADO";5;3;-;8
"350140 ALVARO DE CARVALHO";22;19;-;41
"350150 ALVINLANDIA";1;-;-;1
"350160 AMERICANA";42;32;-;74
"350170 AMERICO BRASILIENSE";6;7;-;13
"350180 AMERICO DE CAMPOS";1;1;-;2
"350190 AMPARO";14;12;-;26
"350200 ANALANDIA";-;1;-;1
"350210 ANDRADINA";26;29;-;55
"350220 ANGATUBA";5;8;-;13
"350230 ANHEMBI";1;2;-;3
"350240 ANHUMAS";1;-;-;1
"350250 APARECIDA";17;18;-;35
"350270 APIAI";3;3;-;6
"350275 ARACARIGUAMA";7;9;-;16
"350280 ARACATUBA";56;50;2;108
"350290 ARACOIABA DA SERRA";7;4;1;12
"350300 ARAMINA";1;-;-;1
"350310 ARANDU";1;1;-;2
"350315 ARAPEI";1;-;-;1
"350320 ARARAQUARA";44;42;-;86
"350330 ARARAS";36;30;-;66
"350340 AREALVA";1;2;-;3
"350350 AREIAS";1;-;-;1
"350360 AREIOPOLIS";2;-;-;2
"350380 ARTUR NOGUEIRA";11;9;-;20
"350390 ARUJA";23;14;-;37
"350395 ASPASIA";-;1;-;1
"350400 ASSIS";37;43;1;81
"350410 ATIBAIA";43;38;-;81
"350420 AURIFLAMA";1;-;-;1
"350440 AVANHANDAVA";10;16;-;26
"350450 AVARE";35;23;3;61
"350460 BADY BASSITT";6;6;-;12
"350470 BALBINOS";39;34;2;75
"350480 BALSAMO";1;2;-;3
"350490 BANANAL";7;5;-;12
"350500 BARAO DE ANTONINA";1;1;-;2
"350510 BARBOSA";-;1;-;1
"350520 BARIRI";6;9;-;15
"350530 BARRA BONITA";8;6;-;14
"350540 BARRA DO TURVO";3;-;-;3
"350550 BARRETOS";31;46;-;77
"350560 BARRINHA";8;6;2;16
"350570 BARUERI";81;110;3;194
"350580 BASTOS";5;8;-;13
"350590 BATATAIS";4;7;1;12
"350600 BAURU";194;187;12;393
"350610 BEBEDOURO";17;6;3;26
"350620 BENTO DE ABREU";1;1;-;2
"350630 BERNARDINO DE CAMPOS";14;8;-;22
"350635 BERTIOGA";59;85;5;149
"350650 BIRIGUI";23;19;1;43
"350660 BIRITIBA-MIRIM";7;11;-;18
"350670 BOA ESPERANCA DO SUL";2;3;-;5
"350680 BOCAINA";2;2;-;4
"350690 BOFETE";3;3;-;6
"350700 BOITUVA";7;12;-;19
"350710 BOM JESUS DOS PERDOES";4;3;-;7
"350715 BOM SUCESSO DE ITARARE";1;-;-;1
"350730 BORACEIA";1;-;-;1
"350740 BORBOREMA";3;4;-;7
"350750 BOTUCATU";35;32;1;68
"350760 BRAGANCA PAULISTA";29;37;-;66
"350770 BRAUNA";3;1;-;4
"350780 BRODOWSKI";5;1;-;6
"350790 BROTAS";2;-;-;2
"350800 BURI";6;4;-;10
"350810 BURITAMA";1;9;-;10
"350820 BURITIZAL";-;2;-;2
"350830 CABRALIA PAULISTA";-;2;-;2
"350840 CABREUVA";13;12;-;25
"350850 CACAPAVA";15;19;-;34
"350860 CACHOEIRA PAULISTA";10;22;2;34
"350870 CACONDE";1;2;-;3
"350880 CAFELANDIA";-;2;-;2
"350900 CAIEIRAS";33;29;1;63
"350910 CAIUA";23;15;-;38
"350920 CAJAMAR";16;26;-;42
"350925 CAJATI";10;7;-;17
"350930 CAJOBI";2;1;-;3
"350940 CAJURU";4;13;-;17
"350945 CAMPINA DO MONTE ALEGRE";2;1;-;3
"350950 CAMPINAS";314;337;24;675
"350960 CAMPO LIMPO PAULISTA";14;22;-;36
"350970 CAMPOS DO JORDAO";9;9;-;18
"350980 CAMPOS NOVOS PAULISTA";1;1;-;2
"350990 CANANEIA";12;5;-;17
"351000 CANDIDO MOTA";3;9;-;12
"351015 CANITAR";-;3;-;3
"351020 CAPAO BONITO";8;11;1;20
"351030 CAPELA DO ALTO";22;23;-;45
"351040 CAPIVARI";16;12;1;29
"351050 CARAGUATATUBA";91;115;-;206
"351060 CARAPICUIBA";194;218;15;427
"351070 CARDOSO";3;1;-;4
"351080 CASA BRANCA";14;13;-;27
"351090 CASSIA DOS COQUEIROS";1;1;-;2
"351100 CASTILHO";4;12;-;16
"351110 CATANDUVA";20;19;3;42
"351130 CEDRAL";2;4;-;6
"351140 CERQUEIRA CESAR";28;17;3;48
"351150 CERQUILHO";4;11;-;15
"351160 CESARIO LANGE";2;2;-;4
"351170 CHARQUEADA";1;2;-;3
"351200 COLINA";2;4;-;6
"351210 COLOMBIA";1;1;-;2
"351220 CONCHAL";4;11;-;15
"351230 CONCHAS";4;5;-;9
"351240 CORDEIROPOLIS";7;5;-;12
"351250 COROADOS";-;1;-;1
"351260 CORONEL MACEDO";1;-;-;1
"351280 COSMOPOLIS";14;17;-;31
"351290 COSMORAMA";1;1;-;2
"351300 COTIA";83;94;2;179
"351310 CRAVINHOS";5;4;-;9
"351330 CRUZALIA";1;1;-;2
"351340 CRUZEIRO";30;18;-;48
"351350 CUBATAO";98;134;2;234
"351360 CUNHA";2;5;-;7
"351370 DESCALVADO";6;6;-;12
"351380 DIADEMA";184;170;3;357
"351385 DIRCE REIS";-;1;-;1
"351390 DIVINOLANDIA";1;1;-;2
"351400 DOBRADA";1;1;-;2
"351430 DOURADO";1;1;-;2
"351440 DRACENA";27;11;2;40
"351450 DUARTINA";2;1;-;3
"351460 DUMONT";1;3;-;4
"351470 ECHAPORA";2;1;-;3
"351480 ELDORADO";5;4;-;9
"351490 ELIAS FAUSTO";7;2;-;9
"351500 EMBU DAS ARTES";98;126;8;232
"351510 EMBU-GUACU";20;20;1;41
"351512 EMILIANOPOLIS";1;-;-;1
"351515 ENGENHEIRO COELHO";3;7;-;10
"351518 ESPIRITO SANTO DO PINHAL";17;7;1;25
"351519 ESPIRITO SANTO DO TURVO";3;1;-;4
"351520 ESTRELA D'OESTE";-;2;-;2
"351530 ESTRELA DO NORTE";1;-;-;1
"351540 FARTURA";3;4;-;7
"351550 FERNANDOPOLIS";16;17;-;33
"351560 FERNANDO PRESTES";-;1;-;1
"351570 FERRAZ DE VASCONCELOS";65;70;2;137
"351600 FLORIDA PAULISTA";19;17;-;36
"351610 FLORINIA";26;23;-;49
"351620 FRANCA";73;84;3;160
"351630 FRANCISCO MORATO";66;62;1;129
"351640 FRANCO DA ROCHA";145;169;5;319
"351650 GABRIEL MONTEIRO";-;1;-;1
"351660 GALIA";21;23;1;45
"351670 GARCA";11;15;1;27
"351685 GAVIAO PEIXOTO";2;-;-;2
"351690 GENERAL SALGADO";2;3;-;5
"351700 GETULINA";9;12;-;21
"351710 GLICERIO";-;2;-;2
"351720 GUAICARA";-;4;-;4
"351730 GUAIMBE";-;4;-;4
"351740 GUAIRA";6;8;-;14
"351750 GUAPIACU";11;5;-;16
"351760 GUAPIARA";1;2;-;3
"351770 GUARA";7;13;-;20
"351780 GUARACAI";-;3;-;3
"351790 GUARACI";4;4;-;8
"351810 GUARANTA";2;-;-;2
"351820 GUARARAPES";6;11;-;17
"351830 GUARAREMA";4;9;-;13
"351840 GUARATINGUETA";22;22;1;45
"351850 GUAREI";19;30;-;49
"351860 GUARIBA";7;15;1;23
"351870 GUARUJA";302;301;9;612
"351880 GUARULHOS";467;551;27;1045
"351885 GUATAPARA";1;2;-;3
"351890 GUZOLANDIA";-;1;-;1
"351900 HERCULANDIA";-;1;-;1
"351907 HORTOLANDIA";78;101;3;182
"351910 IACANGA";1;2;-;3
"351925 IARAS";5;6;-;11
"351930 IBATE";3;3;-;6
"351940 IBIRA";1;3;-;4
"351950 IBIRAREMA";1;3;-;4
"351960 IBITINGA";11;12;-;23
"351970 IBIUNA";12;20;3;35
"351980 ICEM";5;6;-;11
"351990 IEPE";6;-;-;6
"352000 IGARACU DO TIETE";9;6;-;15
"352010 IGARAPAVA";5;8;-;13
"352020 IGARATA";4;-;-;4
"352030 IGUAPE";24;24;1;49
"352040 ILHABELA";12;21;1;34
"352042 ILHA COMPRIDA";8;13;-;21
"352044 ILHA SOLTEIRA";6;4;-;10
"352050 INDAIATUBA";53;59;1;113
"352060 INDIANA";1;-;-;1
"352070 INDIAPORA";2;-;-;2
"352090 IPAUSSU";2;2;-;4
"352100 IPERO";41;28;-;69
"352110 IPEUNA";4;-;-;4
"352115 IPIGUA";3;2;-;5
"352120 IPORANGA";2;3;1;6
"352130 IPUA";5;4;-;9
"352140 IRACEMAPOLIS";4;6;-;10
"352150 IRAPUA";2;2;-;4
"352160 IRAPURU";13;17;1;31
"352170 ITABERA";2;3;-;5
"352180 ITAI";20;13;-;33
"352190 ITAJOBI";1;-;-;1
"352210 ITANHAEM";97;84;5;186
"352215 ITAOCA";-;1;-;1
"352220 ITAPECERICA DA SERRA";62;76;4;142
"352230 ITAPETININGA";60;62;-;122
"352240 ITAPEVA";12;18;-;30
"352250 ITAPEVI";106;113;6;225
"352260 ITAPIRA";14;16;-;30
"352270 ITAPOLIS";15;5;-;20
"352280 ITAPORANGA";5;2;-;7
"352290 ITAPUI";4;4;-;8
"352300 ITAPURA";1;-;-;1
"352310 ITAQUAQUECETUBA";95;110;-;205
"352320 ITARARE";6;7;-;13
"352330 ITARIRI";6;8;1;15
"352340 ITATIBA";15;15;2;32
"352350 ITATINGA";18;21;-;39
"352360 ITIRAPINA";34;26;1;61
"352370 ITIRAPUA";3;1;-;4
"352380 ITOBI";-;1;-;1
"352390 ITU";54;39;-;93
"352400 ITUPEVA";9;20;1;30
"352410 ITUVERAVA";6;3;-;9
"352420 JABORANDI";1;1;-;2
"352430 JABOTICABAL";25;16;1;42
"352440 JACAREI";48;50;2;100
"352450 JACI";1;1;1;3
"352460 JACUPIRANGA";7;5;1;13
"352470 JAGUARIUNA";11;13;3;27
"352480 JALES";2;5;-;7
"352490 JAMBEIRO";-;2;-;2
"352500 JANDIRA";33;41;-;74
"352510 JARDINOPOLIS";35;35;1;71
"352520 JARINU";7;7;-;14
"352530 JAU";24;30;-;54
"352540 JERIQUARA";-;1;-;1
"352570 JOSE BONIFACIO";6;12;-;18
"352580 JULIO MESQUITA";-;-;1;1
"352590 JUNDIAI";134;95;3;232
"352600 JUNQUEIROPOLIS";35;15;-;50
"352610 JUQUIA";9;13;1;23
"352620 JUQUITIBA";12;16;1;29
"352630 LAGOINHA";-;1;-;1
"352640 LARANJAL PAULISTA";11;13;1;25
"352650 LAVINIA";56;59;-;115
"352670 LEME";24;33;-;57
"352680 LENCOIS PAULISTA";9;22;1;32
"352690 LIMEIRA";67;93;-;160
"352700 LINDOIA";-;2;-;2
"352710 LINS";26;24;-;50
"352720 LORENA";24;22;-;46
"352730 LOUVEIRA";10;4;-;14
"352740 LUCELIA";12;13;-;25
"352760 LUIS ANTONIO";1;-;-;1
"352780 LUPERCIO";1;2;-;3
"352790 LUTECIA";-;1;-;1
"352800 MACATUBA";-;5;-;5
"352820 MACEDONIA";1;-;-;1
"352830 MAGDA";-;1;-;1
"352840 MAIRINQUE";14;34;-;48
"352850 MAIRIPORA";18;21;-;39
"352860 MANDURI";1;4;1;6
"352870 MARABA PAULISTA";8;11;1;20
"352880 MARACAI";1;1;-;2
"352900 MARILIA";54;97;1;152
"352920 MARTINOPOLIS";7;2;1;10
"352930 MATAO";7;3;-;10
"352940 MAUA";138;143;7;288
"352950 MENDONCA";1;1;-;2
"352970 MIGUELOPOLIS";3;3;-;6
"352980 MINEIROS DO TIETE";2;-;-;2
"352990 MIRACATU";9;11;-;20
"353010 MIRANDOPOLIS";65;56;2;123
"353020 MIRANTE DO PARANAPANEMA";1;-;-;1
"353030 MIRASSOL";7;8;-;15
"353040 MIRASSOLANDIA";3;-;-;3
"353050 MOCOCA";13;16;-;29
"353060 MOGI DAS CRUZES";134;162;3;299
"353070 MOGI GUACU";31;24;-;55
"353080 MOGI MIRIM";14;16;-;30
"353090 MOMBUCA";1;-;-;1
"353100 MONCOES";2;-;-;2
"353110 MONGAGUA";112;80;4;196
"353120 MONTE ALEGRE DO SUL";1;-;-;1
"353130 MONTE ALTO";8;7;1;16
"353140 MONTE APRAZIVEL";3;3;-;6
"353150 MONTE AZUL PAULISTA";4;2;-;6
"353160 MONTE CASTELO";1;1;-;2
"353170 MONTEIRO LOBATO";-;2;-;2
"353180 MONTE MOR";8;15;-;23
"353190 MORRO AGUDO";7;14;-;21
"353200 MORUNGABA";2;2;-;4
"353215 NANTES";-;2;-;2
"353220 NARANDIBA";-;2;-;2
"353230 NATIVIDADE DA SERRA";2;1;-;3
"353240 NAZARE PAULISTA";1;7;-;8
"353250 NEVES PAULISTA";1;-;-;1
