TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Aids: Sim
Confirmação laboratorial: Com confirmação laboratorial
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350050 AGUAS DE LINDOIA";1;1;-;2
"350070 AGUDOS";-;1;-;1
"350140 ALVARO DE CARVALHO";-;1;-;1
"350160 AMERICANA";2;6;-;8
"350180 AMERICO DE CAMPOS";1;-;-;1
"350190 AMPARO";-;1;-;1
"350210 ANDRADINA";1;4;-;5
"350250 APARECIDA";2;1;-;3
"350270 APIAI";-;1;-;1
"350275 ARACARIGUAMA";-;1;-;1
"350280 ARACATUBA";2;1;-;3
"350310 ARANDU";-;1;-;1
"350320 ARARAQUARA";1;1;-;2
"350330 ARARAS";1;-;-;1
"350400 ASSIS";1;-;-;1
"350440 AVANHANDAVA";-;1;-;1
"350450 AVARE";1;2;-;3
"350470 BALBINOS";-;1;-;1
"350500 BARAO DE ANTONINA";2;-;-;2
"350550 BARRETOS";1;4;-;5
"350570 BARUERI";4;7;2;13
"350600 BAURU";2;1;1;4
"350635 BERTIOGA";-;1;-;1
"350650 BIRIGUI";2;-;-;2
"350760 BRAGANCA PAULISTA";1;4;-;5
"350770 BRAUNA";2;1;-;3
"350850 CACAPAVA";-;1;-;1
"350900 CAIEIRAS";2;-;-;2
"350950 CAMPINAS";11;16;1;28
"350990 CANANEIA";1;-;-;1
"351040 CAPIVARI";3;2;-;5
"351050 CARAGUATATUBA";-;2;-;2
"351060 CARAPICUIBA";7;9;1;17
"351100 CASTILHO";-;1;-;1
"351110 CATANDUVA";1;-;-;1
"351140 CERQUEIRA CESAR";-;1;-;1
"351280 COSMOPOLIS";-;1;-;1
"351300 COTIA";2;3;-;5
"351340 CRUZEIRO";1;-;-;1
"351350 CUBATAO";5;3;1;9
"351380 DIADEMA";2;5;-;7
"351500 EMBU DAS ARTES";2;3;-;5
"351510 EMBU-GUACU";-;1;-;1
"351518 ESPIRITO SANTO DO PINHAL";-;1;-;1
