TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Sexo: Masculino
Aids: Sim
Confirmação laboratorial: Com confirmação laboratorial
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350050 AGUAS DE LINDOIA";1;1;-;2
"350070 AGUDOS";-;1;-;1
"350140 ALVARO DE CARVALHO";-;1;-;1
"350160 AMERICANA";1;4;-;5
"350180 AMERICO DE CAMPOS";1;-;-;1
"350190 AMPARO";-;1;-;1
"350210 ANDRADINA";1;3;-;4
"350250 APARECIDA";2;1;-;3
"350270 APIAI";-;1;-;1
"350275 ARACARIGUAMA";-;1;-;1
"350280 ARACATUBA";2;1;-;3
"350310 ARANDU";-;1;-;1
"350320 ARARAQUARA";1;1;-;2
"350400 ASSIS";1;-;-;1
"350440 AVANHANDAVA";-;1;-;1
"350450 AVARE";1;2;-;3
"350470 BALBINOS";-;1;-;1
"350550 BARRETOS";1;2;-;3
"350570 BARUERI";2;6;2;10
"350600 BAURU";2;1;1;4
"350635 BERTIOGA";-;1;-;1
"350650 BIRIGUI";2;-;-;2
"350760 BRAGANCA PAULISTA";1;4;-;5
"350770 BRAUNA";2;1;-;3
"350850 CACAPAVA";-;1;-;1
"350900 CAIEIRAS";2;-;-;2
"350950 CAMPINAS";6;13;1;20
"350990 CANANEIA";1;-;-;1
"351040 CAPIVARI";1;1;-;2
"351050 CARAGUATATUBA";-;1;-;1
"351060 CARAPICUIBA";5;7;1;13
"351100 CASTILHO";-;1;-;1
"351140 CERQUEIRA CESAR";-;1;-;1
"351300 COTIA";1;2;-;3
"351350 CUBATAO";5;2;1;8
"351380 DIADEMA";1;3;-;4
"351500 EMBU DAS ARTES";2;2;-;4
"351510 EMBU-GUACU";-;1;-;1
"351570 FERRAZ DE VASCONCELOS";2;1;-;3
"351600 FLORIDA PAULISTA";1;1;-;2
"351610 FLORINIA";1;2;-;3
"351620 FRANCA";-;1;-;1
"351630 FRANCISCO MORATO";2;2;-;4
"351640 FRANCO DA ROCHA";7;2;-;9
