TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Sexo: Feminino
Aids: Sim
Confirmação laboratorial: Com confirmação laboratorial
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350160 AMERICANA";1;2;-;3
"350210 ANDRADINA";-;1;-;1
"350330 ARARAS";1;-;-;1
"350500 BARAO DE ANTONINA";2;-;-;2
"350550 BARRETOS";-;2;-;2
"350570 BARUERI";2;1;-;3
"350950 CAMPINAS";5;3;-;8
"351040 CAPIVARI";2;1;-;3
"351050 CARAGUATATUBA";-;1;-;1
"351060 CARAPICUIBA";2;2;-;4
"351110 CATANDUVA";1;-;-;1
"351280 COSMOPOLIS";-;1;-;1
"351300 COTIA";1;1;-;2
"351340 CRUZEIRO";1;-;-;1
"351350 CUBATAO";-;1;-;1
"351380 DIADEMA";1;2;-;3
"351500 EMBU DAS ARTES";-;1;-;1
"351518 ESPIRITO SANTO DO PINHAL";-;1;-;1
"351570 FERRAZ DE VASCONCELOS";1;-;-;1
"351630 FRANCISCO MORATO";1;1;-;2
"351640 FRANCO DA ROCHA";-;1;-;1
"351840 GUARATINGUETA";1;-;-;1
"351870 GUARUJA";2;3;-;5
"351880 GUARULHOS";1;2;1;4
"351907 HORTOLANDIA";-;1;-;1
"352030 IGUAPE";2;-;-;2
"352100 IPERO";-;1;-;1
"352210 ITANHAEM";-;1;-;1
"352220 ITAPECERICA DA SERRA";1;-;-;1
"352230 ITAPETININGA";-;1;-;1
"352250 ITAPEVI";1;-;-;1
"352260 ITAPIRA";-;1;-;1
"352310 ITAQUAQUECETUBA";1;2;-;3
"352390 ITU";-;1;-;1
"352500 JANDIRA";1;-;-;1
"352590 JUNDIAI";1;3;-;4
"352720 LORENA";1;-;-;1
"352840 MAIRINQUE";1;-;-;1
"352850 MAIRIPORA";-;1;-;1
"352900 MARILIA";-;2;-;2
"352940 MAUA";1;4;-;5
"353060 MOGI DAS CRUZES";-;2;1;3
"353070 MOGI GUACU";1;-;-;1
"353190 MORRO AGUDO";-;1;-;1
"353250 NEVES PAULISTA";-;1;-;1
"353340 NOVA ODESSA";-;1;-;1
"353410 ORIENTE";-;1;-;1
"353440 OSASCO";2;1;-;3
"353470 OURINHOS";1;2;-;3
"353720 PEDRO DE TOLEDO";1;-;-;1
"353760 PERUIBE";1;-;-;1
"353870 PIRACICABA";2;2;-;4
"354100 PRAIA GRANDE";2;1;-;3
"354340 RIBEIRAO PRETO";2;5;-;7
"354600 SANTA BRANCA";1;-;-;1
"354780 SANTO ANDRE";1;1;-;2
"354850 SANTOS";1;1;-;2
"354870 SAO BERNARDO DO CAMPO";3;3;-;6
